;goiaba;spp semelhante;outras espécies
gre;0,1005;0,0900;0,1124
;0,1035;0,0865;0,1138
;0,0901;0,0929;0,0787
;0,0846;0,0889;0,1033
;0,0952;0,0797;0,0643
;0,0956;0,0896;0,0765
;0,0975;0,0882;0,0422
;0,0995;0,0971;0,0594
;0,0991;0,0869;0,0695
;0,0979;0,0823;0,0779
;0,0975;0,0949;0,0566
;0,0989;0,0813;0,0705
;0,0915;0,0863;0,0580
;0,0966;0,1150;0,0710
;0,0900;0,1131;0,0572
;0,1004;0,1073;0,0627
;0,1047;0,1216;0,0714
;0,1002;0,1057;0,0696
;0,0902;0,1105;0,0630
;0,0960;0,1185;0,0662
;0,0951;0,1177;0,0776
;0,0978;0,1046;0,0685
;0,0943;0,1190;0,0704
;0,0895;0,1044;0,0535
;0,0895;0,1082;0,0662
;0,0911;0,1045;0,0584
;0,0941;0,0819;0,0680
;0,0970;0,1054;0,0602
;0,0821;0,0882;0,0621
;0,0938;0,1092;0,0616
;0,1003;0,1011;0,0712
;0,0909;0,0852;0,0606
;0,1069;0,0734;0,0623
;0,0879;0,0790;0,0649
;0,0913;0,0759;0,0690
;0,0873;0,1157;0,0597
;0,0960;0,1051;0,0508
;0,0987;0,0766;0,0633
;0,0928;0,0795;0,0578
;0,1016;0,0814;0,0670
;0,0988;0,0836;0,0524
;0,0983;0,0776;0,0548
;0,0931;0,0648;0,0773
;0,0959;0,0725;0,0540
;0,0891;0,0771;0,0543
;0,0999;0,0833;0,0765
;0,1006;0,1179;0,0514
;0,0963;0,0782;0,0590
;0,0970;0,1140;0,0631
;0,0885;0,1264;0,0475
;0,0909;0,0751;0,0669
;0,0892;0,1248;0,0706
;0,0963;0,1119;0,0615
;0,0871;0,1135;0,0505
;0,0986;0,1145;0,0667
;0,0920;0,0735;0,0621
;0,1005;0,1094;0,0699
;0,0938;0,0746;0,0639
;0,1006;0,1176;0,0783
;0,0970;0,1157;0,0796
;0,1015;0,1144;0,1057
;0,0994;0,1209;0,1076
;0,0982;0,1106;0,0711
;0,0894;;
;0,1009;;
;0,0823;;
;0,0914;;
;0,0959;;
;0,0962;;
;0,1026;;
;0,1027;;
;0,0963;;
;0,0973;;
;0,0989;;
;0,1012;;
;0,0995;;
;0,0933;;
;0,0938;;
;0,0960;;
;0,0964;;
;0,1007;;
;0,1018;;
;0,1013;;
;0,1026;;
;0,1039;;
;0,0931;;
;0,0982;;
;0,0945;;
;0,0919;;
;0,0952;;
;0,1016;;
;0,0900;;
;0,1043;;
;0,1036;;
;0,1040;;
;0,0945;;
;0,0929;;
;0,0894;;
;0,0950;;
;0,1073;;
;0,1022;;
;0,1089;;
;0,1051;;
;0,1008;;
;0,0960;;
;0,0927;;
;0,0990;;
;0,0967;;
;0,1054;;
;0,1059;;
;0,1059;;
;0,0852;;
;0,1002;;
;0,1017;;
;0,1023;;
;0,0959;;
;0,0923;;
;0,0906;;
;0,0952;;
;0,0967;;
;0,0938;;
;0,0932;;
;0,0928;;
;0,0980;;
;0,0889;;
;0,0987;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
