;goiaba;spp_semelhantes;outras_especies
NIR;0,4150;0,3729;0,4514
;0,4340;0,3567;0,4503
;0,4250;0,3785;0,3393
;0,4161;0,3531;0,4261
;0,3941;0,3322;0,3808
;0,4200;0,3498;0,4039
;0,4110;0,3542;0,3364
;0,4332;0,3813;0,3764
;0,4126;0,3652;0,3374
;0,4102;0,3434;0,3932
;0,4591;0,3650;0,3727
;0,4012;0,3174;0,2648
;0,4118;0,3605;0,3781
;0,4563;0,4961;0,3730
;0,3905;0,4877;0,3081
;0,4243;0,4779;0,2606
;0,4242;0,4903;0,2121
;0,4371;0,4640;0,2608
;0,4391;0,5103;0,3367
;0,4316;0,5224;0,3750
;0,4247;0,5063;0,4050
;0,4205;0,4743;0,3405
;0,4010;0,4919;0,3586
;0,4166;0,4327;0,3414
;0,3908;0,4865;0,3287
;0,4134;0,4747;0,4114
;0,3882;0,3233;0,2806
;0,4085;0,4881;0,3291
;0,4155;0,3549;0,3533
;0,4052;0,4899;0,3208
;0,4232;0,4524;0,4305
;0,4338;0,3253;0,3167
;0,4381;0,2861;0,3540
;0,4043;0,3260;0,3422
;0,3871;0,2855;0,2672
;0,4331;0,4823;0,3620
;0,4088;0,4202;0,3375
;0,4431;0,3265;0,3406
;0,4252;0,3048;0,2613
;0,4591;0,3379;0,3554
;0,4208;0,3500;0,3431
;0,4201;0,2957;0,3426
;0,4218;0,2402;0,3351
;0,4468;0,3344;0,3196
;0,4206;0,3135;0,3159
;0,4284;0,3458;0,4487
;0,4332;0,4426;0,3219
;0,4295;0,3487;0,3977
;0,4327;0,4364;0,3363
;0,3915;0,4714;0,3331
;0,4050;0,3173;0,4228
;0,4335;0,4600;0,3700
;0,4250;0,4389;0,3914
;0,4183;0,4431;0,3596
;0,4431;0,4361;0,3641
;0,4093;0,3290;0,3386
;0,4466;0,4319;0,3924
;0,4204;0,3448;0,3893
;0,4362;0,4738;0,3831
;0,4479;0,4556;0,3857
;0,4179;0,4474;0,4157
;0,4553;0,4800;0,4208
;0,4137;0,4470;0,3691
;0,4300;;
;0,4446;;
;0,3585;;
;0,4316;;
;0,4364;;
;0,4270;;
;0,4347;;
;0,4340;;
;0,4286;;
;0,4178;;
;0,4036;;
;0,4380;;
;0,4062;;
;0,4230;;
;0,3891;;
;0,4414;;
;0,4036;;
;0,4097;;
;0,4236;;
;0,4241;;
;0,4274;;
;0,4235;;
;0,4104;;
;0,4459;;
;0,4024;;
;0,3775;;
;0,4274;;
;0,4368;;
;0,4129;;
;0,4204;;
;0,4403;;
;0,4291;;
;0,3967;;
;0,3810;;
;0,3825;;
;0,3912;;
;0,4310;;
;0,4283;;
;0,4540;;
;0,4259;;
;0,4235;;
;0,4004;;
;0,4328;;
;0,4419;;
;0,4229;;
;0,4277;;
;0,4268;;
;0,4537;;
;0,3490;;
;0,4025;;
;0,4018;;
;0,4027;;
;0,3804;;
;0,3552;;
;0,3801;;
;0,3741;;
;0,3991;;
;0,3609;;
;0,3649;;
;0,3547;;
;0,4030;;
;0,3479;;
;0,3971;;
